audit_version,challenge_sample_version,run_scope,identificador_boe,source_attempt_id,source_document_sha256,extraction_config_id,defect_code,defect_description,human_decision,human_notes,reviewer_id,reviewed_on
1,1,development_challenge_v1,BOE-A-2023-2580,fff60e12b33c480c8dc3c83275b0b897,479d6aeb5684985683dcb1b4ea3b7e4175aeb3c097f88417ad502dd1cabf03ae,db2bc8c3564ce062,event_granularity_error,Single event for multiple differentiable projects in an accumulated procedure.,CONFIRMED_MAJOR,Un único evento no representa correctamente la granularidad administrativa y de proyectos descrita en el BOE. La corrección exacta de granularidad debe resolverse al revisar la regla de eventos; no asumir aquí automáticamente 4 o 13 eventos.,human_reviewer_1,2026-08-07
1,1,development_challenge_v1,BOE-A-2023-2580,fff60e12b33c480c8dc3c83275b0b897,479d6aeb5684985683dcb1b4ea3b7e4175aeb3c097f88417ad502dd1cabf03ae,db2bc8c3564ce062,wrong_decision,Environmental decision stored as formulado instead of desfavorable.,CONFIRMED_MAJOR,El resultado explícito de la declaración de impacto ambiental es desfavorable; decision=formulado pierde esa decisión final.,human_reviewer_1,2026-08-07
1,1,development_challenge_v1,BOE-A-2023-2580,fff60e12b33c480c8dc3c83275b0b897,479d6aeb5684985683dcb1b4ea3b7e4175aeb3c097f88417ad502dd1cabf03ae,db2bc8c3564ce062,wrong_target,Administrative action targets only evacuation infrastructure.,CONFIRMED_MAJOR,"La DIA afecta al proyecto completo, no únicamente al componente de evacuación.",human_reviewer_1,2026-08-07
1,1,development_challenge_v1,BOE-A-2023-2574,18f4a87ee21e4f288669e855e0f0ec9c,747c178a141a575a4e1e8a0ce06968ed4bc7da9f54f2aaf105bedc27a54c662c,db2bc8c3564ce062,wrong_target,Administrative action targets only evacuation infrastructure.,CONFIRMED_MAJOR,La DIA afecta a cada parque y a su infraestructura asociada; limitar el target exclusivamente a la evacuación es incorrecto.,human_reviewer_1,2026-08-07
1,1,development_challenge_v1,BOE-A-2023-2595,282c780ecefd4806932089f120e95c93,4b7d1f7beab3f25d58f85bc8c37cc15b815bdb4f13b1986c670dc70a0a846898,db2bc8c3564ce062,participant_error,Plant-specific applicants copied to every split event.,CONFIRMED_MAJOR,"Tras dividir los eventos, cada evento debe conservar su sociedad solicitante homónima junto con los participantes comunes Q-ENERGY y Tejo Solar, en lugar de copiar las cuatro sociedades solicitantes a todos los eventos.",human_reviewer_1,2026-08-07
1,1,development_challenge_v1,BOE-A-2023-2599,0b7ae97a2b2c41958293a09b8b0bf645,2c58077d3cc78832c0443a40b90d404c22dc5f452e52d418e99ea00d1ce8b528,db2bc8c3564ce062,wrong_decision,Environmental decision stored as formulado instead of desfavorable.,CONFIRMED_MAJOR,La declaración de impacto ambiental es explícitamente desfavorable; decision=formulado pierde el resultado final.,human_reviewer_1,2026-08-07
1,1,development_challenge_v1,BOE-A-2023-2599,0b7ae97a2b2c41958293a09b8b0bf645,2c58077d3cc78832c0443a40b90d404c22dc5f452e52d418e99ea00d1ce8b528,db2bc8c3564ce062,wrong_target,Administrative action targets only evacuation infrastructure.,CONFIRMED_MAJOR,"La DIA afecta a cada parque y a su infraestructura asociada, no únicamente al componente de evacuación.",human_reviewer_1,2026-08-07
1,1,development_challenge_v1,BOE-A-2026-10216,cbe867a0fc1e425cbc81900c2220afa4,0dcb935186a260699e3f04e7841f7c03fa055c7b2b962028fc67adf792e34ac1,db2bc8c3564ce062,event_granularity_error,Single event for three differentiable storage-photovoltaic projects.,CONFIRMED_MAJOR,Cada pareja almacenamiento-PSFV debe constituir un evento diferenciable. Las plantas fotovoltaicas de generación son las raíces necesarias para relacionar publicaciones posteriores del mismo proyecto.,human_reviewer_1,2026-08-07
1,1,development_challenge_v1,BOE-A-2026-10216,cbe867a0fc1e425cbc81900c2220afa4,0dcb935186a260699e3f04e7841f7c03fa055c7b2b962028fc67adf792e34ac1,db2bc8c3564ce062,component_link_error,Storage components linked to the wrong photovoltaic assets.,CONFIRMED_MAJOR,"Los vínculos deben ser component_1→asset_1, component_2→asset_2 y component_3→asset_3.",human_reviewer_1,2026-08-07
1,1,development_challenge_v1,BOE-A-2026-10216,cbe867a0fc1e425cbc81900c2220afa4,0dcb935186a260699e3f04e7841f7c03fa055c7b2b962028fc67adf792e34ac1,db2bc8c3564ce062,component_name_error,Documentary storage component names discarded.,CONFIRMED_MINOR,Los nombres descartados de Los Naipes II y El Encinar I son documentales y deben conservarse.,human_reviewer_1,2026-08-07
