identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-A-2024-6215,2024-03-27,2c9cfb7acfe782357caad4a10245793e07d2236b530c849e05a6853ff484b327,2024,A,MODEL_REQUIRED,main-11,1,7d7fe984937f264b754af67841deb98a9b2076d21a276f635be9f1e5246d8446
BOE-B-2024-37236,2024-10-16,a0d0a402d8b7b82ad1a29bdc7af8fd8b3ab294324a23232230664a5b55f55054,2024,B,MODEL_REQUIRED,main-11,2,7d8e0e02de7801590219b1a0ce7be38d790d65ac718b19ccde436763515d5547
BOE-B-2024-7684,2024-03-04,7253c991912742743137e9dde9e088495c35fef19c99f89ea4ed64c3f20b6e2a,2024,B,MODEL_REQUIRED,main-11,3,7d8eb7b4e4a6c92ed8559ab31c583b46832998b164577d27dae78cf45af4a40d
BOE-B-2025-20237,2025-05-31,7c3a11ded3499442ed8e60dc68f89fa819b374966460b9a41cd131fff5644977,2025,B,MODEL_REQUIRED,main-11,4,7d963ae704200b650e9a333d5d919a93770d270006a26e255e11bafbd02a174a
BOE-A-2024-11742,2024-06-10,d55e19deacea702a0cd26ceb53f1ad83919c39b62276a9d333c068d7aecfe58a,2024,A,MODEL_REQUIRED,main-11,5,7da9cf4282638a2ac32718fee53efa93999c3633539fbed13228eea23aaecc91
BOE-B-2025-13902,2025-04-14,6d6b1d8cff2e73d2c3cb30e806b796d92e3d4dace34b8fe553e6c2fc909e53dd,2025,B,MODEL_REQUIRED,main-11,6,7dacfd23aa086dd146753ca894300131054305986ffc3b8c7cb1ccba1c3bc824
BOE-B-2025-15810,2025-04-30,0e3c00b4b6557ff0cb698ecf5c69a25a4b4cd77261feba5931f0f05280f60a5e,2025,B,MODEL_REQUIRED,main-11,7,7db00574b7e45d137432a5ecaf84944f60a3052e75d414aecba25ac81a59a748
BOE-B-2025-11833,2025-03-31,300fd544eb5bcb3baa35f1564a7a14802602b886ee7f9443dbb9dc89a8dd405d,2025,B,MODEL_REQUIRED,main-11,8,7db9f336d17abad9029a5454fc7ecd4349103599fbd78aa1c52c9943d516d8f6
BOE-A-2024-326,2024-01-05,19497564841de60135aa61905634fe8b5c428be7012b71591cdf917b04a143e4,2024,A,MODEL_REQUIRED,main-11,9,7dc7d497118f2407f9d7fa3674489534a99038b17ce7bfb1a83dbc4acfd632c8
BOE-B-2024-11642,2024-04-01,a82a1a9375155fdddfa6e36e414756280547170a674ab5651f493585a2ee476b,2024,B,MODEL_REQUIRED,main-11,10,7dda638b72907740401d9f9406b000ca637392ae221933f2ba0cd082a4b6e3f1
BOE-A-2025-9704,2025-05-16,52d0f0e85920b87f715aabda52fabc744fb392d67d35194d28ba9173ad35ef03,2025,A,MODEL_REQUIRED,main-11,11,7df435ea8c730a3ead206b34b68380210eb4ed506b38cf9c6c18b2efb437e578
BOE-B-2025-35303,2025-10-01,4fdde6f7a88bbf4ff08968b049c002921ac23ab59767edd6710356138b03810f,2025,B,MODEL_REQUIRED,main-11,12,7e0da0d156929af8ab09694399a9e4a9a95bc55f4f4295a0686d742f35918177
BOE-A-2025-13977,2025-07-07,1cdbf9ff2905a875c6cf29014ed13ce9fd6ee7d258cb1b794c521280ac454641,2025,A,MODEL_REQUIRED,main-11,13,7e20db5d740e254323390321c71eeda7a5f7b2ac3dff67cc1538bd7b39b67f26
BOE-A-2025-10976,2025-06-02,fd1f21cf9509cc88ea3617af0bb5006e9003e73991511b4f5c66d82605b5e69d,2025,A,MODEL_REQUIRED,main-11,14,7e26db3894c6eba94d468f2ccb1b107e1438a7ae0269a1a377bf34343b7eedd8
BOE-A-2024-4268,2024-03-04,5a6e8e0b81c546a32684291ca13442bccfd60526618a1216a085117bc875173f,2024,A,MODEL_REQUIRED,main-11,15,7e4a83b367c5afd7b617ae6b61a5829e43a688c54be7e5dbb43a338c7fae2b91
BOE-A-2024-16589,2024-08-09,47bb5144463b92f84f801210db134abc07880012947382500ca1346c508cc23c,2024,A,MODEL_REQUIRED,main-11,16,7e4ab1c4a825ef5ebe5df960cd9bf30d171a16a6e2c75c6bddeb24afe81421d7
BOE-B-2026-12568,2026-04-22,08b473a85d58adc1225eda4122a36cf45da86c5e1a8152c8ed1ee1ad5645bdab,2026,B,MODEL_REQUIRED,main-11,17,7e61b8e9a82a5c80d2470ccfc55fdadd5556835034f40aeef4d3240e8ca96c10
BOE-B-2024-19068,2024-05-25,432025b004ca26243306ea2d688c12327c8b6379b9c76963c7114f85adb0f239,2024,B,MODEL_REQUIRED,main-11,18,7e6994bcf67ace4b54fd61ae840ba093605995e6e5d4ebc628374df2f4c5e15f
BOE-B-2025-43641,2025-11-25,d86979975eae16c81304ff174b576ca317c7251cc8bf4585719c0b6f64af1757,2025,B,MODEL_REQUIRED,main-11,19,7e6dd3f489fee0e0e78777c8b9831b113cf3df35397837736642ea4f2059e709
BOE-B-2026-11889,2026-04-17,a7b9f4c83d7eeee458d25c9098e0b09995b487cd5f4b88b73555ca69d0441796,2026,B,MODEL_REQUIRED,main-11,20,7e9806e524320b6a312e42a8f5029420e629ef7e0f8eb4f29f11639caed8a000
BOE-B-2025-42787,2025-11-20,545c8862ada642c524829c743b28ba14192f41023fe65d9c5aaf0a3e3dbfbe9b,2025,B,MODEL_REQUIRED,main-11,21,7ea15c6f6082a0960840b36ff355d785f260d6b3f226f00c4317a9e8e44c6881
BOE-B-2025-15042,2025-04-25,f1cc41145fb2b07290f3d1fdbb645d19cf933617fc5e804ea1b0d53fd5855969,2025,B,MODEL_REQUIRED,main-11,22,7ea2ad4467668331da9fcc71199c5b3a6da9428fbf936109162fb426f40e595f
BOE-B-2024-6011,2024-02-21,dde2d4b5438fa98e6b364eb582439fa6b90f8d7de7c11fa347ddfbc9cdaa99e8,2024,B,MODEL_REQUIRED,main-11,23,7eb4dae774ae40cf1c4ee7e0930acda5e0fbd0b1a487d5f6ecf152600afdcc50
BOE-B-2025-4634,2025-02-10,99d0727befbf91251168fffc1a3a9d7ecb34ea4168142eb25fbca576f09ba28b,2025,B,MODEL_REQUIRED,main-11,24,7ec10d626b7a52f88cfb78921f2b022dd8183169af4dddb1614841d15f25fe2b
BOE-B-2024-2362,2024-01-24,9536d6427af4d1e1d9a0fc00f6c57adbd01c9294f8189b21b207e50ecf033082,2024,B,MODEL_REQUIRED,main-11,25,7ed9c8f89fa183d6e5f0bf9954095348788f02f236cbfa15582838d0f3477dc5
BOE-B-2024-37232,2024-10-16,4234535f534dc9a73658e2f9822ae0f762fd3ea4e204aff31f65fc31db62eb6b,2024,B,MODEL_REQUIRED,main-11,26,7eda6ea01b149f322e54a601e21390c216586fb4e4b2ca092639862cbb5ab134
BOE-A-2025-16483,2025-08-08,a3b0b3feebc41697556d38f10fc5d0df8412971067807c05f7669d6e961d4473,2025,A,MODEL_REQUIRED,main-11,27,7eec6cf15c18dc0803ee3dbe6ac7cfce1620b8c9874b8e0cc16ca7e4ce71723d
BOE-B-2026-11652,2026-04-15,6cd08cb7d924f0c92e90e4d5fad6bac6ead9ef3e9c4fc93a45a8196f2fe2b079,2026,B,MODEL_REQUIRED,main-11,28,7efc14a128577e07534fd9a5a4dce5e2217f783f6128ed0a45a8e81b32a97edf
BOE-B-2026-20263,2026-06-15,c9ee14dc33b77fe8e77e036a4c4af288fa683bf5517482ffc78b88dd99a305b2,2026,B,MODEL_REQUIRED,main-11,29,7f0d10b43374897a47c16b52cfc4723fea7887854163467d38b1e8ff676fa954
BOE-B-2024-42253,2024-11-19,59573522a3b2cd9736a79155bf6361458a5beed84f1d408eb4268c980bad33c9,2024,B,MODEL_REQUIRED,main-11,30,7f0ee564850d5c334ab9fe7c86e928e5584260677e557c78a4a1f3af47d750d8
BOE-A-2025-19171,2025-09-27,7c7934108d04676cced3de9342470c2be63da84634de4e955754e85b00f122ca,2025,A,MODEL_REQUIRED,main-11,31,7f14e26d1e48dffe08dce1be190820f4ba9835b6c57c9bb9d02d81e59d6789b9
BOE-A-2024-8066,2024-04-22,2ac1c791c3fd32843b63b8d4b97c72652c9072faa44a7397c25edd0b7a6de968,2024,A,MODEL_REQUIRED,main-11,32,7f18d99f11858299b83129221dbe0266938c654fed870e2f0166591fbc8b33a1
BOE-B-2024-31718,2024-09-09,99579c105a610587c39b60a2afad795e4e27f714772b7394048fde5794f27228,2024,B,MODEL_REQUIRED,main-11,33,7f2964a62d7d17deaf9aad8b4222b22a1435c8ed6f835aad44b827ea67164795
BOE-B-2024-15846,2024-05-03,d86d4bcd68ff228794acbdfeba5cc535524eb63a7e24b5e722df0ebfbc9991b0,2024,B,MODEL_REQUIRED,main-11,34,7f33360962840bf021923229b919988a357613223ff3df61b07537959c0b6be1
BOE-B-2024-39423,2024-10-31,4b22dad0d809d49f54137d325b2d1c8b97447f9ec70879418411d9ab48415839,2024,B,MODEL_REQUIRED,main-11,35,7f37774909fe33874a2a723038af09c1928cef22441899bc3b8015a0ca5f52e5
BOE-B-2024-40119,2024-11-05,486f63db1db609d2ab4959dde3f7feb31e2bd7bcd46395c173d5bf82c3f9aa9f,2024,B,MODEL_REQUIRED,main-11,36,7f4915f9af13e402f8d2960668ac48834d99fd87e3d0e15a5747277e1d6bde3b
BOE-A-2025-14559,2025-07-14,ced16a756e3793bc952afa52616e3d6436ee2df3fd7f7a7ede48897bc6d1257c,2025,A,MODEL_REQUIRED,main-11,37,7f4d5e062502f6ac0aa88de433bdc3ef0f629bd65a3a7b2306bed332462b1a0a
BOE-A-2024-5718,2024-03-21,3dcc2c3728b6578b57a53cc2569774d32e753e80da1a0f63910fac05e99dcd0a,2024,A,MODEL_REQUIRED,main-11,38,7f5b9037a7cf98f4c73e17dbb034c0c1b4a492dcbe66d9978732332ecdfc61e7
BOE-B-2024-43330,2024-11-26,af965564a9e216bb37a90a5c9c211670680dc961a1259274fcc1e76a9d5cb852,2024,B,MODEL_REQUIRED,main-11,39,7f8e06bdabb3a4a66a321c914b8581d7073ca8921fc3559c7595dfd7316d7e3d
BOE-A-2024-435,2024-01-08,53c86fbcf5f6c57a666ed7e6a4ab735fe862d5c84e382b919351c7947b32268e,2024,A,MODEL_REQUIRED,main-11,40,7f91df198ef71a3da621b23f5e29d60182cde14b9a9069b9778b2a4abc45f2a1
BOE-B-2024-28225,2024-08-03,ddbd0435a8adbaa98e0bced5d3eb9cba369c99db226ec8a7e572162345178c90,2024,B,MODEL_REQUIRED,main-11,41,7f927e1fca7d4f90a5c0de36385485fb11e3d07886fc39184aa49be920bc07f4
BOE-B-2025-13879,2025-04-14,76db6b109a61a76be7991052f4e80d7b63247257a42c4fe4489f471f922f8bd2,2025,B,MODEL_REQUIRED,main-11,42,7f974e21cc3b872d93e025a0f2bd99930be83c5c0249418a9cc82e2f16336d71
BOE-A-2024-22640,2024-11-01,f784f348b48ea3e675b530008a0da339d8de1c5d5ce71bf4982c722c006d67be,2024,A,MODEL_REQUIRED,main-11,43,7fa76ae57f03e79f6f7eafce4af22d3045bac133439634817e127e02adf1afc9
BOE-B-2026-25778,2026-07-31,ac56770e1e5c0c58760ef934a277a9a25681729473a36bb469eaf5875002d454,2026,B,MODEL_REQUIRED,main-11,44,7fa9ee31b16ad45734e48d96919c67e42b87be8c5903ba7ca2f3836efe2c8a3a
