identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-B-2026-8302,2026-03-17,b402b10dd01e80fe237a7ed8e25ecfffe92fd34bf73ef7f1e6954dee40ee0a50,2026,B,MODEL_REQUIRED,main-01,1,000318fa8bcbf1b9a58a886c5dec83e2d56a0bfc29bba6192694f056868d5512
BOE-B-2026-7244,2026-03-09,679d84b8c8b3f4a8eb560f2b62d6ea25d564f315d9f93d6673e1adf42f68235e,2026,B,MODEL_REQUIRED,main-01,2,000e4a3a8017b392202e1d83cd7485e9df7c304007691bdc278ca910d9c8a217
BOE-B-2025-1730,2025-01-20,2897df505b24c57f89a6cd7f73213d4bae997e9ab2685c5786bbb93de9885b87,2025,B,MODEL_REQUIRED,main-01,3,0010afb30e27e80e413640c43995149f68fef8c2f7d2093bd1e7bc40a9ee3188
BOE-A-2024-16490,2024-08-08,e84172b2a04ee3b36b3d5ce034f1ff971e478c35f1c121e49cb9263e6ae8d6d1,2024,A,MODEL_REQUIRED,main-01,4,001816ca932cf311e626bce5af2684dc4d06d5b85c04ad56fedb76697b5ba4ba
BOE-B-2025-8155,2025-03-06,3d0d928b8895989db872d51e72be4a3b4647049207a344fb5b9f83204468eac2,2025,B,MODEL_REQUIRED,main-01,5,001ff262213dd312f58a560bf654a06ea5c53210d3a75372834fad3e8f97bc90
BOE-B-2025-29781,2025-08-18,73ed9d934101bf897427143069665765ec12a124ade89bd7475ed7554642c120,2025,B,MODEL_REQUIRED,main-01,6,0023589ab847b9e2f88597e2a3c5cfafce15b50acc4674a4fa795ad053935ea7
BOE-B-2024-17522,2024-05-14,03d1f413b1fa377c86c2fb8285c0e340e8616471a9093028112f57e669c1190c,2024,B,MODEL_REQUIRED,main-01,7,00270060d25742a1f4170146150602f7d8f41090bfcf3108124142169c4f0ff6
BOE-B-2024-44474,2024-12-03,c9b40109768ecf94a3b0de79e0fab8633e614b015a851c436285af13aea8eacd,2024,B,MODEL_REQUIRED,main-01,8,00546cfd0e5dd0ccba6f7d25fa658fd811f1b8ca1073ea3757ef47d4b1d38876
BOE-A-2024-16021,2024-08-02,8087aebd6597fa9596bf31d8e523e0223867d0d0d4a545be59cbd057fe1d1c94,2024,A,MODEL_REQUIRED,main-01,9,005882b062c113b77ce414854244643d9d9433ef91b2ba7229f9721b649dc76e
BOE-A-2024-9911,2024-05-16,887d15d6f3606679408d668f44886cf43ee8705f5e1acbfa46deb7fa1f1f00f7,2024,A,MODEL_REQUIRED,main-01,10,006ef379c47bba8d46ba1809256b918bfe8b7a75d03605657f0e419f9db5ee95
BOE-B-2026-20262,2026-06-15,c1d44fa30c55c4e594117fd085e5d5ebeea8a9a921ec99f38cc0f1d2ddcaa254,2026,B,MODEL_REQUIRED,main-01,11,0086dee98f0f1071dd1b792c167f94b0db82a9c62e7e9e312a87361b5f8a6d2f
BOE-B-2025-21875,2025-06-12,56ba4a78b76430463b706257daed311c6e16e12b6fb3e41ba2590bc74acc339e,2025,B,MODEL_REQUIRED,main-01,12,00a4e5faf89b2eadb5a3db5876c0e625ec42be840be27ec61b19a4af06bebc9e
BOE-A-2024-27382,2024-12-28,aa9431cac2fd1ea06e018b9e03089e37187bd53cb1b5606739e3afa0c97f2c02,2024,A,MODEL_REQUIRED,main-01,13,00ac48b8d188daec44c64fe7cdc5ab175d9def682d40c974f3f0fe60a255c6a4
BOE-A-2026-14552,2026-07-04,ed133b092e8473aa3551764cd82dbb617e6e1a779fd7071d39859ddbf7632cf7,2026,A,MODEL_REQUIRED,main-01,14,00acad4115be1c0abec8a843c20abec7734a09f8f73487f99c8db38ecb0adfd8
BOE-B-2025-18506,2025-05-22,77f16fc5a5505a224a0b2ec795409f4c7b4e1f91cf429a7a8c52e707dff46724,2025,B,MODEL_REQUIRED,main-01,15,00c61a6ac6ab4ba13cfb8af659d1259e3a49a9782be8c8034d0acc6c6bde7d87
BOE-B-2024-27225,2024-07-23,283793281dfc90ca772cdb7e77933142591a9a2cb5c3d8a1faffbe212ccfda45,2024,B,MODEL_REQUIRED,main-01,16,00c7b21ed4c92235c41fcfa90eb744c259bb0e60a2ee19dd8249738f0c97d968
BOE-A-2024-5876,2024-03-23,8f84d6f074c7a1eee38e5f10fdad377f429eee88510d622616b493b76cb29092,2024,A,MODEL_REQUIRED,main-01,17,00d08538c7dd58e7bfeb214d8f51410dbac26c3dd514732c12e58df50b1ba877
BOE-B-2026-1415,2026-01-21,899eadffafa0534c4ae91a1afc12d0e4f849a3354454b7b251ff2e61df2c8f81,2026,B,MODEL_REQUIRED,main-01,18,00f82ce8f0bb221a4d92f59c027fb8355e50e677b7bedc9c7bcd108231c74331
BOE-A-2024-13642,2024-07-04,ad1ec30803932c41a918d3ca3ecd4c59925e872e4b40cfed924cc5f2d4edcec3,2024,A,MODEL_REQUIRED,main-01,19,010eb267eea8ee94f9ba1e430c765d67535baf823749ef6aa6c510656fde323f
BOE-A-2024-24505,2024-11-23,a2ef99ce28698ac0d0c45b1dcda930d5b56616192ac03c4dc987147e5f000919,2024,A,MODEL_REQUIRED,main-01,20,0115ea76d4311161c127730d919b8815841a362366be88db3ade16b6584ec5c0
BOE-A-2025-15218,2025-07-22,aca8f094e41dc75f35d64b7572ad9087f3424c13582a1650c1e70792063550f5,2025,A,MODEL_REQUIRED,main-01,21,011638207a0f6dadd35c18d8c789bed55a218d5bafa1fc7fde23e09793badd5d
BOE-B-2025-39647,2025-10-31,a96c281dcbcf927a1d221ec51f666f32a036a05a0f5aacea6ae1aa9f5079b487,2025,B,MODEL_REQUIRED,main-01,22,01250c2dbe91239492ac8be9da9cf64dd3e936e3d7622a780920a09cbd5fd7f1
BOE-B-2024-19460,2024-05-28,c60c26248c1791bebef58df1b099604916c9e73ee9edb32859d0b0a37f99e1e0,2024,B,MODEL_REQUIRED,main-01,23,01280ba0e933f74613e83b839b92eebae82a1e9d56d8a85427a115d86dbd6ace
BOE-B-2024-76,2024-01-02,2c9850548acca7c3f0ad8d6986c502f7f736f7aeb075f10b6b3b253c47b8de08,2024,B,MODEL_REQUIRED,main-01,24,0134b3852a69d2f5da270e20aac465eee1f6ea142561b8e04e8438c0da8c1dc5
BOE-B-2024-16717,2024-05-09,999d9ff82c14344c33693c3b622a2d42491813a61a6840ee98dcfe443a6d5a42,2024,B,MODEL_REQUIRED,main-01,25,01412f8aa22f721bf147c3fa1961c33d2da920a35f4a8165d1334fd74bd76993
BOE-B-2025-19518,2025-05-28,dac872065370283d0bf31f0c0ff8a6da7a77b088852e7ea2adc63dd6ad758a2a,2025,B,MODEL_REQUIRED,main-01,26,0156237568656b8237554763268bda7bbede2cc30345dbd383e2f81e9c2cb060
BOE-A-2025-4498,2025-03-06,91d4608fafc9643483354040764eef1990c9400265138d2637322aa6dbd3e709,2025,A,MODEL_REQUIRED,main-01,27,0157c2118518a4eae07ded3f3121ae6d4219c8c9dc6e179f9fc9fedb37e20205
BOE-B-2025-17518,2025-05-14,754531a051e7c45c194408962377bc6e2782ce7719f3919d27d111441434d39a,2025,B,MODEL_REQUIRED,main-01,28,0160b950918a0e1b4f1f30bee46f6390fa4c8604062a26c65045f54f0f516d19
BOE-B-2024-19435,2024-05-28,d364e13d44ad4a2e2120a77860f6286d5a520959d746660daa38f89239f3f181,2024,B,MODEL_REQUIRED,main-01,29,0177530593bc8fbe2dc87c5b664ee7acac806a779340d4e201f6f03a12943a93
BOE-B-2026-14384,2026-05-06,6b8dddd6da9d6a4285d755a82da19127bbcddfb770d79ce09a9802b682effe9d,2026,B,MODEL_REQUIRED,main-01,30,017998bc9d66a9eb75a0d688a84b67df4fd35c5aae63f49a7d7885e7ba8f3f4c
BOE-B-2025-21627,2025-06-10,d5ee9f29d20b6339eb23ceb589f58b26f5ea59c30ca28e95631bf666b2e4e0a3,2025,B,MODEL_REQUIRED,main-01,31,017ea3a712d01f8499a122cc38909c1d70081b91d3ef0cbae11e555802b7f032
BOE-B-2026-10225,2026-04-01,a094d978ca794ddf494e1b1aeff52fe51df7fa02370db96bbf3f965991ea37e6,2026,B,MODEL_REQUIRED,main-01,32,018a2f5e91c2ba585189886d07728abc474ccd49186fe4eb138b7238ecccfa3b
BOE-B-2024-37202,2024-10-16,c1e837bca358783f7f22cbd6f6fa1defe9d2359c7184ca007b378a507675168b,2024,B,MODEL_REQUIRED,main-01,33,018d11a53da186884170c1048e8cefe107506073e3473b7117e4e0a4686520b8
BOE-B-2026-20474,2026-06-16,1e00d9b30aef890f8b22d0958c9b9bf884c7e701082a129ce918e3a53e6fa664,2026,B,MODEL_REQUIRED,main-01,34,018d19abc665fc2e71ec92251ce407a5778e16e819bfb390f554d4706605820a
BOE-B-2025-404,2025-01-08,38e4f7ceb49ccf5233dbb639d66df9b73406b1acb539dfe14ae52b95d3c3761d,2025,B,MODEL_REQUIRED,main-01,35,0192015d1a3eea19c8ed7162877823260c889dfd16d0d2927c5f46a659007b0c
BOE-B-2024-27434,2024-07-26,45ad708295b652f5bfd5dde5accc455f43e7676c3adb48569299113e8d3c4b6a,2024,B,MODEL_REQUIRED,main-01,36,01a26b2363530e3559f56e8efd0907e2f24f17738350ef8da6a631e1e64b4cd2
BOE-A-2025-26596,2025-12-25,62b88306bf28a71fdccfe0af489ae0bc39df2ab3136855e8baa2f42a180e5816,2025,A,MODEL_REQUIRED,main-01,37,01ad1bd040e47f420dee1b9f680141e98d1f06706b0cc43923fb0e291e8086bd
BOE-B-2025-5487,2025-02-17,bcd94164bb91f97c4cde831f66a8d98df8522446aaf44e2405fe6fb85b6b7b08,2025,B,MODEL_REQUIRED,main-01,38,01adaa6049e0ca22cdff8ca58dc7534889b0f2bcbdd2be7844adf26d42ba8e85
BOE-B-2026-2275,2026-01-28,f1b84c4cd0fafe2124a5118d196de64df05eecb607c3899a6975890e93690e88,2026,B,MODEL_REQUIRED,main-01,39,01cfed0a79d605295a553e7255878f00ecfb461c35af90cad16fb41e6a8053ec
BOE-B-2024-8029,2024-03-07,a55a7469d9d4c7e4b58ac22a5754a3c4a804b0f98152ca41414748a6f462cac9,2024,B,MODEL_REQUIRED,main-01,40,01d62fef7611078ca4ee2208125cc5ca33248ec691e7364444811de4c00d1a02
BOE-A-2024-11363,2024-06-04,a13ac07fa1f1f64135e697a5a6acf45fb0ecafbcdc82c669e5295fd3f010b6aa,2024,A,MODEL_REQUIRED,main-01,41,01d8f1fb38277b8ff45d7b8a05f763956cd9f7247d867ff083cdbf654bcddf94
BOE-B-2024-42641,2024-11-22,6e468a532243c0921b878bf673165c22a876ad87aae65f271728831ea93a983c,2024,B,MODEL_REQUIRED,main-01,42,01e4df73d61b535fc3a26485a342cd52e0f34eb44e6b741791b340d2f09104d3
BOE-A-2025-16692,2025-08-11,428f817b10846ca913fd04d2c3a1f86c31d77c0bebec1f2007ea11127b0ebbb6,2025,A,MODEL_REQUIRED,main-01,43,01fb171540a0bae0aa4d73980acce86937895cc3dc9634e34202318259bfec1c
BOE-A-2025-8095,2025-04-21,849c898b8e97ca38579d12681eb54c17975fee836f65593852c5e60c8f6ef05d,2025,A,MODEL_REQUIRED,main-01,44,02016a36ecd9d85d1e3f0181fd4c8a87110e1084f57cb959df51be5754d47487
