identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-A-2024-510,2024-01-09,30bb7a8d76b328582dfc839d5bafe0d7ea90336ef2c76b69b788da89694f42bc,2024,A,MODEL_REQUIRED,main-02,1,0b7c34409724132c7e30add3b2dbc1e89839a6e57a68f8979f6417140e1b0733
BOE-B-2026-25823,2026-07-31,113069f3a6cf53158c7a56b2a644924373977bdaaf7a75f67d6e552b7d228957,2026,B,MODEL_REQUIRED,main-02,2,0b7d43ee144feb77b14e05065ce2959afef848db4d323d8ece7e7cefd7d8a54e
BOE-A-2024-10221,2024-05-21,06b1215e12acf32854a7424330b8bc20c0050cd3eb7de895c4d6585a319ebfc5,2024,A,MODEL_REQUIRED,main-02,3,0b89c624bd9d322d45bb0a009436d45f268137d486ca9d7046cfc201f901bc82
BOE-B-2025-36959,2025-10-13,3e7b1a23e041a2f7c888dcb3bce2f088e6f2c82f7bcd7d3da435c613769e7702,2025,B,MODEL_REQUIRED,main-02,4,0b8b1aa7f69ea03206e2722406ffc2700ec9783ee4ee99bef5c777531ea89ab4
BOE-B-2026-25684,2026-07-30,a672b62ff2c52ec8e8b8962dbd4d2111ab7a41f3c18bcfd78e4bf45d49ddede9,2026,B,MODEL_REQUIRED,main-02,5,0b906edc0ca3c548ef4b7016caab9178cc60847eb54e8e79e62775f0658975a5
BOE-B-2024-8026,2024-03-07,a86b933800c742578eb01b382c688e2723de375682ee9b05f6a942249e780573,2024,B,MODEL_REQUIRED,main-02,6,0b98a5696c6788247895ee332b06808439f78a19477bf8c79d5bbec9ba0d8faa
BOE-B-2025-40127,2025-11-03,573bbdab6e411151f7bd8465dee11e116b1436d3cc61143e990c4efe5b9c21f0,2025,B,MODEL_REQUIRED,main-02,7,0bcd4d5a5a0128ac7f1db52e1465685207f1ef771e306b8cc122c677bc601c0f
BOE-B-2024-37361,2024-10-17,f81686d9e4b8b7442c7ffd866887689be1ce41906722997b0b1f25e3576d14f3,2024,B,MODEL_REQUIRED,main-02,8,0bd12dc03cb29ea5edb14d3957602777fd2fb07abed7e74f98a14c012fe2104a
BOE-B-2024-27387,2024-07-26,c738c4087e35177e2d62c6af4094b39920b83aa879dfe1c5fca9ebd132dac02c,2024,B,MODEL_REQUIRED,main-02,9,0bdce62abbdc022b134b8bcfe6209fcf868b35f5a3bb55adc0d907be1197dcd4
BOE-A-2025-11325,2025-06-06,839b6923445ee8f8a39d8e562a0491f5880de93f732bd3ed3baa0b37cd6ff557,2025,A,MODEL_REQUIRED,main-02,10,0c190a65dbfa6fdbb9dc9ffa33e7621d34412a4fa68b073636b859a3c0bec0bf
BOE-A-2024-11368,2024-06-04,41fb9f10071c9d077c1f0f11c70404f1ea28d8467d13564c0a5527e35605fbdb,2024,A,MODEL_REQUIRED,main-02,11,0c1c851cf42cd2a58ff923303b6c4315faa2524f3bb7438d6d4da29afbc4c4e4
BOE-B-2026-22643,2026-07-03,2d2aa5c516cc151d1940b499e8f259c4bdd300109a7d12ab54a71f5ff9aea3fa,2026,B,MODEL_REQUIRED,main-02,12,0c3aad77f0680cba1be438be8d87f13b95e5750d0eed6447af981e3ea5f1d304
BOE-A-2024-7111,2024-04-10,65f6f3f0ffedd57dd2afabfdd24f255878c639e2468301f837f0008fa5630ce3,2024,A,MODEL_REQUIRED,main-02,13,0c53a681f922788344a8728b6a066fa02d7c65702d1c0608811f057cd420836d
BOE-A-2025-6168,2025-03-27,3ff9219b0a31ff26124f1b2ec67bf1df05cea29e440d291fa3b975003baaba34,2025,A,MODEL_REQUIRED,main-02,14,0c5417cac0991f1b55f1e05690a8af2ae5df7c01d05125722a0b86a6a7c50b20
