identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-B-2025-16295,2025-05-07,37299f8ea95c35d5be4cc5824a8f87007882407fd186087acbe46c9d74c41af9,2025,B,MODEL_REQUIRED,main-06,1,3d3183e4ef7b95748c7714fc2ca316d568733b639754a4ade4fbfb0fed76a140
BOE-B-2026-24965,2026-07-23,f3914af89a999a3f9b5efccd8938f9df44c795ffb96d51f2548bdf554e3a5e17,2026,B,MODEL_REQUIRED,main-06,2,3d3e42161f6c7c5cb1190c723f492874b11835f006c96dbed03cc142bfd8102e
BOE-A-2025-12036,2025-06-14,fb9e8a6dc61e60e723feebc89feb63e9ee2091670a07704124570804bed90b00,2025,A,MODEL_REQUIRED,main-06,3,3d533477aee7b03ab6e30d471dad8e4e7b41e9842bdda0f332b8b7bb4673ddeb
BOE-A-2025-22502,2025-11-06,5266a4330386131f5f4fa814c4d1bdf07dc0a50c3929a5e92fe57719ffc8feaf,2025,A,MODEL_REQUIRED,main-06,4,3d54d1170691ebb56aa9489a31d551f8d92fe05d11a2657afba9181f728e45fb
BOE-B-2025-45069,2025-12-04,70f5481cc6f85cc1c266e25fa5521be0a2b6c2d3ef177e05df6db89a040dd143,2025,B,MODEL_REQUIRED,main-06,5,3d566993912314a26f8377c90e84740bce3aaf4fc66e7c993fac5d7b9d83f77e
BOE-A-2024-328,2024-01-05,351f386fe831ecd03d3eca7230977119147a33979e3f8feadb25ddb29e3ee43d,2024,A,MODEL_REQUIRED,main-06,6,3d78082720a7f8e1fb1de299c2a9d5d50fde7f2efc0a0e4c2e93078819714ced
BOE-A-2025-433,2025-01-09,4d84f390f3aa16386c2e795a27ed3f2fc22a1db47b2c360d529440935f5154e6,2025,A,MODEL_REQUIRED,main-06,7,3d90c3ac5ff93e83c4324046921c9875d4f492ac27411e53743b0fea7e97e5b2
BOE-A-2024-5698,2024-03-21,1edb2263fca609566d6ceaec8c9f38d516f9bcddc51d8dfde71671a23e8c11d1,2024,A,MODEL_REQUIRED,main-06,8,3d9156fa9a2f9960bd701afd894cb724b39dbd4e79965238fb48897e9e3c701a
BOE-A-2025-2270,2025-02-06,b6c36a23d8158b3733eb0ee29af4cd6f51d0eaa78dd4d2c9f8c92e33bdb7791f,2025,A,MODEL_REQUIRED,main-06,9,3da35979ea90c7505b569896717c67856be8d6a82b10cf5d1b919b000454754d
BOE-B-2024-46057,2024-12-16,4e9788fd2145831d7e29c2085c3db44e95550101f044e6b0d6654fb626ca018e,2024,B,MODEL_REQUIRED,main-06,10,3da3ade1f57eda41018f94798c059df73629d7e288dd23ffd3df401fa0ccb8f3
BOE-A-2024-9608,2024-05-13,1661f4b527654e11a7a69df0b7766949c07994761986581122e8af905af87d0d,2024,A,MODEL_REQUIRED,main-06,11,3dac12fbbf4f89d3227b485a98d147d1dcaa68dd1c5655e66d8ad2ee65ccf170
BOE-B-2026-1491,2026-01-22,496142f8bdaded750c08ba4a372a3bf3278cdf06a37c728ad8a013eb43ac5b18,2026,B,MODEL_REQUIRED,main-06,12,3daef7c62b661af8e1f95312458b2312b7c70ccdff8e963b06b216d65fa9aa6c
BOE-B-2025-42254,2025-11-17,fcbaa2f1292bb4bf097ecafc10cec96598231521e4c716b1843e6739b7c9a832,2025,B,MODEL_REQUIRED,main-06,13,3db155ee67ec88bea1edd12d00d0c32f197f7ff00dd406ec3f2b974b1cdc2278
BOE-B-2025-21717,2025-06-11,068d3fe93d4880dbce34da12a0ca93fe5424b707b1f427fce79b1996a44ecaff,2025,B,MODEL_REQUIRED,main-06,14,3dba8bb5673b2866e47496e4a61ddae6456ec76ced689864c26c2f632db0d26d
BOE-B-2026-14389,2026-05-06,dbbbd081354eaa11ecfd4ecd5605b3c633cc0885c44fda6ca64180bbf5564e16,2026,B,MODEL_REQUIRED,main-06,15,3dbcdf6c856d706564a72096241fb93009a7c572aef2824274528904b23e71fa
BOE-A-2026-3074,2026-02-10,1634bb9fbae3651a413c43c4c000ef2c4e4619b8747def88cb261d4887379cb3,2026,A,MODEL_REQUIRED,main-06,16,3dc656ddb64c7aab6480f8d0b97c0ef9e483ffb397182a250ae892da9691aebc
BOE-A-2026-9274,2026-04-28,4b97730d6c35d0c3eb8891b111ca69e94ba02d7030de83a9c26bebc644cf9830,2026,A,MODEL_REQUIRED,main-06,17,3dcd7f8aeb7a627985d3b1577ea73da6f8ba1f03440a6bdd9c232257e1217947
BOE-B-2026-11008,2026-04-10,22aa5b900da6f034871287cdfd01c65be6062e6488865b0c1257daf288cf4736,2026,B,MODEL_REQUIRED,main-06,18,3dd0d311ea890f2bd5684811f795c3bb9a1b06f9dd4b8717b50e1de68d4459e3
BOE-B-2024-19222,2024-05-27,057ffa0bd24baac287deb936d27a7b6891afe03e90f44b1c009924d6a7f6793a,2024,B,MODEL_REQUIRED,main-06,19,3ddfe8c0f766a90590784fc55208a079ae77f31f420df15968790fe8f813b9c7
BOE-B-2025-8265,2025-03-07,15970604a7ef4d31aaf932f788bb48b4dcf9717f66944705bc3e9320cf784a27,2025,B,MODEL_REQUIRED,main-06,20,3df39bd7e604d00fb3eb329cb842c91a8d99b2979137c02c77b1d2b22ac2759e
