identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-B-2025-12657,2025-04-05,15f1057452a3620e6bba35b4bc22a79e8299f72fbfabc00290a08667ffe5e1c6,2025,B,MODEL_REQUIRED,main-05,1,30d4d50b72c856bcd57cc654d31e20c1b5805af11b3677cccd91cf04ff1255a9
BOE-B-2024-30954,2024-09-04,9af20e6ac61346c04bb5dac683059c2859872677fc676bd98733b018c4e5bd75,2024,B,MODEL_REQUIRED,main-05,2,30d88ebd1c8e8e14df679f621408b417bd527c0a8ec6fa764aa83f55eb37cecc
BOE-A-2026-6396,2026-03-18,ed5cb55f41757a04c93f99c0f03d98f847702c3c5e7e53b40acd58ccac32dc82,2026,A,MODEL_REQUIRED,main-05,3,30e009b72fb0abede5ecad86c6994e67c9a3d889852ef90cdd4e9c9876f6969a
BOE-B-2025-30092,2025-08-21,3e2740447234c8b52edfabe508613e4a4d52cb722dfda53ae5bc93e9afe171f9,2025,B,MODEL_REQUIRED,main-05,4,30e124b9acb394b09931b8f2f6b78d66b7e6b7a1d450c1a52a16a3bea14c5eb1
BOE-B-2024-45065,2024-12-09,4118efa4ffe7f0f4e8103b05693b2e2d17286dad7d48063af5385c83de1530f3,2024,B,MODEL_REQUIRED,main-05,5,310a065b93cf18916fbe1c0c8c29c03799c48e9f2d78bade5d34a5a780826523
BOE-A-2026-6459,2026-03-19,a9deeb732c9ea379061cf35aa79907a11028bfd0080930c265d028ad901861cd,2026,A,MODEL_REQUIRED,main-05,6,311bd054456d8f6cd5ffbc2277701a08ab2f378a78c36b03d0f37f283e962243
BOE-A-2024-4277,2024-03-04,0e769453a12c566cdc3d1970d5c015912c623c842e6b53e505cb048271392949,2024,A,MODEL_REQUIRED,main-05,7,314754579e33f526602bdaa800edad9353f750d904fc4eed57b6e4dc1ebda3ea
BOE-B-2025-8901,2025-03-11,3a22ae45e728b577dce41771f9de4f8f6c345bde69c16d8499ea9dc4ad143621,2025,B,MODEL_REQUIRED,main-05,8,3161c19a0888be66d8f1026f4480e3e7c42a2dbbe67839af435ef485505ad201
BOE-B-2024-33823,2024-09-24,58c7e67cab84366b2bf5fcf8b244a5dfbfe02503b6e2abf1e76ca35ae955035d,2024,B,MODEL_REQUIRED,main-05,9,317de10d3f14388d3cbb4e2ef534c07ee536913839423132bd7be9199b322495
BOE-A-2026-3466,2026-02-14,53df6b60ea57581dd090c02c4612d16570433357e606ef678bc8680a350458e8,2026,A,MODEL_REQUIRED,main-05,10,3192871310170456a1cf2caa54dcd3c4403ed7c2765d59cce69f04147c11c321
